Mouse: H2030IC10dn573 , Patch: 50 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 145 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 152 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 153 , Met: 0 , Label: false positive
Mouse: H2030IC10dn573 , Patch: 157 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 249 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 253 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 256 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 261 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 262 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 264 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 264 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 264 , Met: 2 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 264 , Met: 3 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 264 , Met: 4 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 265 , Met: 0 , Label: false positive
Mouse: H2030IC10dn573 , Patch: 349 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 358 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 365 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 365 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 373 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 373 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 381 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 454 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 454 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 454 , Met: 2 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 454 , Met: 3 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 462 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 462 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 462 , Met: 2 , Label: false positive
Mouse: H2030IC10dn573 , Patch: 470 , Met: 0 , Label: false positive
Mouse: H2030IC10dn573 , Patch: 470 , Met: 2 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 558 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 558 , Met: 2 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 566 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 566 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 573 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 574 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 574 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 574 , Met: 2 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 574 , Met: 3 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 886 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1069 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1083 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1083 , Met: 1 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1094 , Met: 0 , Label: false positive
Mouse: H2030IC10dn573 , Patch: 1094 , Met: 1 , Label: false positive
Mouse: H2030IC10dn573 , Patch: 1094 , Met: 2 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1173 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1178 , Met: 0 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1178 , Met: 3 , Label: true positive
Mouse: H2030IC10dn573 , Patch: 1178 , Met: 4 , Label: true positive
