Cuda is not available.

Mouse , Patch ID , Met ID , True Label , Predicted Label , Certainty
H2030IC10dn573 , 145 , 1 , true positive , false positive , 66.5
H2030IC10dn573 , 249 , 0 , true positive , false positive , 76.3
H2030IC10dn573 , 365 , 1 , true positive , false positive , 54.5
H2030IC10dn573 , 381 , 0 , true positive , false positive , 80.8
H2030IC10dn573 , 1069 , 0 , true positive , false positive , 66.8
H2030IC10dn573 , 1083 , 1 , true positive , false positive , 59.8
H2030IC10dn573 , 1094 , 2 , true positive , false positive , 74.8
H2030IC10dn573 , 1179 , 3 , true positive , false positive , 84.2
H2030IC10dn573 , 1203 , 22 , true positive , false positive , 84.3
H2030IC10dn573 , 1211 , 0 , true positive , false positive , 77.2
H2030IC10dn573 , 1281 , 4 , true positive , false positive , 51.4
H2030IC10dn573 , 1283 , 0 , true positive , false positive , 70.7
H2030IC10dn573 , 1283 , 2 , true positive , false positive , 80.4
H2030IC10dn573 , 1289 , 2 , true positive , false positive , 61.3
H2030IC10dn573 , 1289 , 3 , true positive , false positive , 84.9
H2030IC10dn573 , 1290 , 0 , true positive , false positive , 54.7
H2030IC10dn573 , 1297 , 0 , true positive , false positive , 58.0
H2030IC10dn573 , 1305 , 0 , true positive , false positive , 93.4
H2030IC10dn573 , 1402 , 1 , true positive , false positive , 68.8
H2030IC10dn573 , 1499 , 1 , true positive , false positive , 56.9
H2030IC10dn573 , 1594 , 0 , true positive , false positive , 53.6
H2030IC10dn573 , 1715 , 0 , true positive , false positive , 72.3
H2030IC10dn573 , 2018 , 0 , true positive , false positive , 72.8
H2030IC10dn573 , 2226 , 0 , true positive , false positive , 63.9
H2030IC10dn573 , 454 , 999 , true positive , false positive , 92.5
IC2dn2 , 294 , 0 , true positive , false positive , 51.6
IC2dn2 , 992 , 4 , true positive , false positive , 62.0
IC2dn2 , 1402 , 0 , true positive , false positive , 53.7
IC2dn2 , 1409 , 0 , true positive , false positive , 61.2
IC2dn2 , 1481 , 0 , true positive , false positive , 67.3
IC6dn1 , 709 , 2 , true positive , false positive , 51.4
IC6dn1 , 894 , 0 , true positive , false positive , 70.8
IC6dn1 , 909 , 0 , false positive , true positive , 82.2
IC6dn1 , 1093 , 0 , true positive , false positive , 50.7
IC6dn1 , 1267 , 0 , true positive , false positive , 50.2
IC6dn1 , 1291 , 0 , true positive , false positive , 71.3
IC6dn1 , 1384 , 4 , true positive , false positive , 69.7
IC6dn1 , 1384 , 8 , true positive , false positive , 55.6
IC6dn1 , 1387 , 1 , true positive , false positive , 75.1
IC6dn1 , 1393 , 1 , false positive , true positive , 85.9
IC6dn1 , 1394 , 2 , false positive , true positive , 55.4
IC6dn1 , 1480 , 0 , false positive , true positive , 60.9
IC6dn1 , 1481 , 0 , false positive , true positive , 51.1
IC6dn1 , 1594 , 0 , false positive , true positive , 64.2
IC6dn1 , 1595 , 1 , true positive , false positive , 91.6
IC6dn1 , 1683 , 3 , false positive , true positive , 61.4
IC6dn1 , 1684 , 0 , true positive , false positive , 57.0
IC6dn1 , 1769 , 1 , false positive , true positive , 50.3
IC6dn1 , 1777 , 2 , true positive , false positive , 58.0
IC6dn1 , 1778 , 0 , false positive , true positive , 50.9
IC6dn1 , 1865 , 4 , true positive , false positive , 52.9
IC6dn1 , 1977 , 3 , true positive , false positive , 82.9
IC6dn1 , 2058 , 0 , false positive , true positive , 54.1
IC6dn1 , 2081 , 1 , false positive , true positive , 84.2
IC6dn2 , 862 , 1 , true positive , false positive , 64.3
IC6dn2 , 1114 , 0 , false positive , true positive , 63.1
IC6dn2 , 1120 , 2 , true positive , false positive , 50.7
IC6dn2 , 1121 , 1 , false positive , true positive , 54.3
IC6dn2 , 1193 , 1 , false positive , true positive , 64.0
IC6dn2 , 1197 , 2 , true positive , false positive , 58.6
IC6dn2 , 1282 , 1 , false positive , true positive , 60.0
IC6dn2 , 1284 , 1 , true positive , false positive , 84.2
IC6dn2 , 1289 , 0 , true positive , false positive , 62.8
